feature,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,significant,direction
intercept,-3.438615,0.027725,-3.487801,-3.385555,0.000621,0.000439,1992.713418,2003.884893,,True,decreases fraud risk
email_match,0.368599,0.019658,0.333337,0.406583,0.000453,0.00032,1893.145871,1779.810401,,True,increases fraud risk
vel_card1_24h_count,-0.314622,0.039451,-0.384975,-0.237772,0.000936,0.000663,1767.814591,1846.53085,,True,decreases fraud risk
identity_completeness,0.261315,0.022024,0.222306,0.304962,0.0005,0.000353,1943.424701,1920.568028,,True,increases fraud risk
card1_addr1_is_mode,-0.258989,0.02833,-0.31181,-0.206272,0.000657,0.000465,1859.231144,1940.588601,,True,decreases fraud risk
vel_card1_1h_count,0.220973,0.027927,0.170545,0.274133,0.000636,0.00045,1920.859288,2043.211397,,True,increases fraud risk
hour_of_day,-0.203203,0.02622,-0.251221,-0.153525,0.000627,0.000444,1752.575272,2000.088123,,True,decreases fraud risk
amt_zscore_card1,0.169424,0.022852,0.127676,0.211553,0.00051,0.000363,2015.906258,1962.813774,,True,increases fraud risk
is_night,-0.144299,0.025499,-0.191809,-0.095859,0.000565,0.0004,2039.943745,1917.728361,,True,decreases fraud risk
vel_card1_7d_count,-0.095933,0.031306,-0.152849,-0.034844,0.000716,0.000506,1878.825303,1720.62501,,True,decreases fraud risk
log1p_amt,0.067567,0.024961,0.017888,0.10963,0.000561,0.000399,1985.707578,1877.147674,,True,increases fraud risk
is_weekend,-0.041938,0.025441,-0.0865,0.008964,0.000596,0.000422,1837.424983,1941.872104,,False,decreases fraud risk
amt_to_card1_mean_ratio,-0.039852,0.024812,-0.085313,0.006366,0.000569,0.000411,1903.544535,2047.417989,,False,decreases fraud risk
vel_card1_1h_sum,-0.038321,0.027947,-0.088325,0.016517,0.000682,0.000482,1683.401732,1578.260945,,False,decreases fraud risk
has_identity,-0.017652,0.022201,-0.062165,0.021491,0.0005,0.000354,1967.645957,1962.911684,,False,decreases fraud risk
vel_addr1_24h_count,0.011958,0.021055,-0.026551,0.053012,0.0005,0.000353,1781.370924,1926.480551,,False,increases fraud risk
